,PPL
% Below High,0.0663
% Held by Institutions,0.7059000000000001
52-Wk Range,['23.47 - 30.99']
Annual Dividend $,0.9
Annual Dividend %,0.0308
Ask,28.94
Ask Size,1300.0
B/A Ratio,1.1538461538461537
B/A Size,1500x1300
Beta,0.8
Bid,28.93
Bid Size,1500.0
Day Change $,-0.295
Day Change %,-0.0101
Day High,29.13
Day Low,28.82
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",0.96
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.23600000000000002
Last (size),100.0
Last (time),11:24a ET 11/28/22
Market Cap,21.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.48
Prev Close,29.23
Price,28.94
Shares Outstanding,736.3M
Short Interest,0.0124
Today's Open,29.04
Volume Past Day,(Light)
