,PPL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.4194915254237287
Growth 1yr High Est,-0.41224489795918373
Growth 1yr Consensus Est,-0.4158682116914562
Growth 2yr Low Est,-0.14040269701843372
Growth 2yr High Est,-0.10890022675736966
Growth 2yr Consensus Est,-0.12465146188790169
Growth 5yr Low Est,-0.0723021888453513
Growth 5yr High Est,-0.057474306927071894
Growth 5yr Consensus Est,-0.0648882478862116
Growth 5yr Actual/Est,-0.024893707482993216
Growth 3yr Historic,-0.14572704081632656
