,PPL
Price/Earnings (TTM),30.48094
Price/Sales (TTM),3.03263
Price/Book (MRQ),1.55049
Price/Cash Flow (TTM),11.38159
5yr Low,18.12
5yr High,36.99
5yr Avg Return,-0.02726666666666667
EPS Growth 5yr,-0.6149327
Revenue Growth 5yr,-0.0510972
Dividend Growth 5yr,0.0181128
Short Int Current Month,9135462.0
Short Int Prev Month,10175691.0
Short Int Pct of Float,0.0124213
Days to Cover,2.24702
Float,735.4971
Shares Outstanding,736.3183
Institutions Holding Shares,1005.0
% Held by Institutions,0.705875
FCF Growth 5yr,-1.0458596289921591
