,SPNS
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.06249999999999978
Growth 1yr High Est,0.017094017094017033
Growth 1yr Consensus Est,0.039797008547008406
Growth 2yr Low Est,0.056460084033613356
Growth 2yr High Est,0.05476549594196656
Growth 2yr Consensus Est,0.05561278998778996
Growth 5yr Low Est,0.13522636346558997
Growth 5yr High Est,0.13633844417351487
Growth 5yr Consensus Est,0.13578240381955242
Growth 5yr Actual/Est,0.1407015317683314
Growth 3yr Historic,0.11967532467532466
