,SPNS
Price/Earnings (TTM),20.22985
Price/Sales (TTM),2.33024
Price/Book (MRQ),2.8098
Price/Cash Flow (TTM),14.20233
5yr Low,8.01
5yr High,38.32
5yr Avg Return,0.1603
EPS Growth 5yr,0.1691573
Revenue Growth 5yr,0.1635356
Dividend Growth 5yr,0.1309264
Short Int Current Month,724401.0
Short Int Prev Month,685489.0
Short Int Pct of Float,0.022067
Days to Cover,4.21899
Float,32.82727
Shares Outstanding,57.46851
Institutions Holding Shares,172.0
% Held by Institutions,0.234532
FCF Growth 5yr,-0.13838144093299223
