,SPNS
% Above Low,0.17370000000000002
% Held by Institutions,0.2345
52-Wk Range,['16.18 - 36.61']
Annual Dividend $,0.7
Annual Dividend %,0.0364
Ask,18.99
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,18.89
Bid Size,200.0
Day Change $,-0.25
Day Change %,-0.013000000000000001
Day High,19.37
Day Low,18.8
Dividend Pay Date,2022-08-30 00:00:00
"EPS (TTM, GAAP)",0.95
Ex-dividend,2022-08-16 00:00:00
Ex-dividend Date,08/16/22
Historical Volatility,0.44200000000000006
Last (size),2.0
Last (time),3:00p ET 11/28/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",20.23
Prev Close,19.24
Price,18.99
Shares Outstanding,57.5M
Short Interest,0.022099999999999998
Today's Open,19.27
Volume Past Day,(Light)
