,THS
Price/Earnings (TTM),
Price/Sales (TTM),0.75665
Price/Book (MRQ),1.59926
Price/Cash Flow (TTM),25.34076
5yr Low,29.47
5yr High,67.88
5yr Avg Return,0.021233333333333337
EPS Growth 5yr,
Revenue Growth 5yr,-0.0686331
Dividend Growth 5yr,
Short Int Current Month,1242780.0
Short Int Prev Month,1278004.0
Short Int Pct of Float,0.0224519
Days to Cover,2.47406
Float,55.37538
Shares Outstanding,56.08244
Institutions Holding Shares,313.0
% Held by Institutions,1.0405419999999999
FCF Growth 5yr,-0.22731664918752012
