,TLYS
Price/Earnings (TTM),7.99367
Price/Sales (TTM),0.39889
Price/Book (MRQ),1.68485
Price/Cash Flow (TTM),5.5003
5yr Low,3.46
5yr High,25.46
5yr Avg Return,0.03528333333333335
EPS Growth 5yr,0.3885835
Revenue Growth 5yr,0.0639543
Dividend Growth 5yr,
Short Int Current Month,841285.0
Short Int Prev Month,961237.0
Short Int Pct of Float,0.037755000000000004
Days to Cover,4.56964
Float,22.28277
Shares Outstanding,30.11072
Institutions Holding Shares,136.0
% Held by Institutions,0.7955559999999999
FCF Growth 5yr,-0.4391326462273304
