,TLYS
% Above Low,0.42560000000000003
% Held by Institutions,0.7956
52-Wk Range,['6.65 - 16.95']
Annual Dividend $,
Annual Dividend %,
Ask,10.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,9.44
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,9.48
Day Change $,-0.12
Day Change %,-0.0125
Day High,9.59
Day Low,9.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.2
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),174.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,285.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.99
Prev Close,9.6
Shares Outstanding,30.1M
Short Interest,0.0378
Today's Open,9.45
Volume,228797.0
Volume 10-day Avg,165233.0
Volume Past Day,(Heavy Day)
