,TLYS
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8557692307692308
Growth 1yr High Est,-0.8142857142857143
Growth 1yr Consensus Est,-0.8350274725274726
Growth 2yr Low Est,-0.21121794871794874
Growth 2yr High Est,-0.2404761904761905
Growth 2yr Consensus Est,-0.22584706959706963
Growth 5yr Low Est,0.3286015519568151
Growth 5yr High Est,0.25476190476190474
Growth 5yr Consensus Est,0.2916817283593599
Growth 5yr Actual/Est,-13.495511284831673
Growth 3yr Historic,-13.387987012987013
