,TEVA
Price/Earnings (TTM),
Price/Sales (TTM),0.6439
Price/Book (MRQ),1.12357
Price/Cash Flow (TTM),
5yr Low,6.07
5yr High,25.96
5yr Avg Return,-0.06388333333333335
EPS Growth 5yr,0.3971378
Revenue Growth 5yr,-0.0623118
Dividend Growth 5yr,
Short Int Current Month,30809442.0
Short Int Prev Month,30185588.0
Short Int Pct of Float,0.027963300000000003
Days to Cover,2.38796
Float,1089.629
Shares Outstanding,1110.552
Institutions Holding Shares,563.0
% Held by Institutions,0.46966299999999994
FCF Growth 5yr,-1.2828698370906697
