,PLL
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8438661710037174
Growth 2yr High Est,-5.8896103896103895
Growth 2yr Consensus Est,-3.3667382803070534
Growth 5yr Low Est,-0.8438661710037174
Growth 5yr High Est,-5.8896103896103895
Growth 5yr Consensus Est,-3.3667382803070534
Growth 5yr Actual/Est,-0.5376341303820719
Growth 3yr Historic,0.0282278481012658
