,PLL
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.71688
Price/Cash Flow (TTM),
5yr Low,4.0
5yr High,88.97
5yr Avg Return,0.4914166666666667
Short Int Current Month,1565129.0
Short Int Prev Month,1820019.0
Short Int Pct of Float,0.1122615
Days to Cover,3.06085
Float,17.4179
Shares Outstanding,18.01023
Institutions Holding Shares,191.0
% Held by Institutions,0.465067
FCF Growth 5yr,0.6032736492027446
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
