,PLL
% Above Low,0.6799
% Held by Institutions,0.46509999999999996
52-Wk Range,['32.09 - 79.99']
Annual Dividend $,
Annual Dividend %,
Ask,53.99
Ask Size,100.0
B/A Ratio,29.0
B/A Size,2900x100
Beta,0.9
Bid,53.9
Bid Size,2900.0
Day Change $,-1.25
Day Change %,-0.0227
Day High,54.92
Day Low,53.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.45
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),197.0
Last (time),10:59a ET 11/28/22
Market Cap,970.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,55.15
Price,53.9
Shares Outstanding,18.0M
Short Interest,0.11230000000000001
Today's Open,54.27
Volume Past Day,(Light)
