,BKH
Price/Earnings (TTM),17.78288
Price/Sales (TTM),1.98158
Price/Book (MRQ),1.59461
Price/Cash Flow (TTM),8.87374
5yr Low,48.07
5yr High,87.12
5yr Avg Return,0.04298333333333333
EPS Growth 5yr,0.0774854
Revenue Growth 5yr,0.0483926
Dividend Growth 5yr,0.0639109
Short Int Current Month,2372778.0
Short Int Prev Month,3072991.0
Short Int Pct of Float,0.0366914
Days to Cover,5.27461
Float,64.68373
Shares Outstanding,65.07826
Institutions Holding Shares,425.0
% Held by Institutions,0.898029
FCF Growth 5yr,-0.6055385032505817
