,BKH
% Below High,0.1263
% Held by Institutions,0.898
52-Wk Range,['59.08 - 80.95']
Annual Dividend $,2.5
Annual Dividend %,0.0353
Ask,72.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,58.87
Bid Size,100.0
Closing Price,70.73
Day Change $,0.69
Day Change %,0.009899999999999999
Day High,71.18
Day Low,70.28
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.98
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.256
Last (size),31.0
Last (time),5:00p ET 11/25/22
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.78
Prev Close,70.04
Shares Outstanding,65.1M
Short Interest,0.036699999999999997
Today's Open,70.43
Volume,121080.0
Volume 10-day Avg,353728.0
Volume Past Day,(Light)
