,BKH
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.07486631016042766
Growth 1yr High Est,0.050761421319796884
Growth 1yr Consensus Est,0.06281386574011227
Growth 2yr Low Est,0.04862718493096019
Growth 2yr High Est,0.04711984109468115
Growth 2yr Consensus Est,0.04787351301282067
Growth 5yr Low Est,0.06267358558553515
Growth 5yr High Est,0.05255289102026389
Growth 5yr Consensus Est,0.05761323830289952
Growth 5yr Actual/Est,0.044878628750541494
Growth 3yr Historic,0.014834547235871798
