,NFG
% Above Low,0.1404
% Held by Institutions,0.747
52-Wk Range,['57.70 - 75.97']
Annual Dividend $,1.9
Annual Dividend %,0.028900000000000002
Ask,70.07
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,62.27
Bid Size,100.0
Change Since Close,-0.05| |(-0.08%)
Closing Price,65.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",6.15
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.265
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,65.75
Market Cap,6.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.71
Prev Close,65.8
Shares Outstanding,91.5M
Short Interest,0.023
Today's Open,
Volume,2.0
Volume 10-day Avg,376422.0
Volume Past Day,(Light)
