,NFG
Price/Earnings (TTM),10.70767
Price/Sales (TTM),2.75371
Price/Book (MRQ),2.89402
Price/Cash Flow (TTM),6.43264
5yr Low,31.58
5yr High,75.97
5yr Avg Return,0.03616666666666667
EPS Growth 5yr,0.13272420000000001
Revenue Growth 5yr,0.0671046
Dividend Growth 5yr,-0.0320511
Short Int Current Month,2076818.0
Short Int Prev Month,2425646.0
Short Int Pct of Float,0.0230046
Days to Cover,4.28802
Float,90.30476
Shares Outstanding,91.48529
Institutions Holding Shares,566.0
% Held by Institutions,0.746996
FCF Growth 5yr,0.7968626355723131
