,RIDE
% Above Low,0.0192
% Held by Institutions,0.2651
52-Wk Range,['1.30 - 4.88']
Annual Dividend $,
Annual Dividend %,
Ask,1.33
Ask Size,9200.0
B/A Ratio,2.782608695652174
B/A Size,25600x9200
Beta,1.1
Bid,1.32
Bid Size,25600.0
Day Change $,-0.005
Day Change %,-0.0038
Day High,1.36
Day Low,1.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.29
Ex-dividend Date,No dividend
Historical Volatility,0.996
Last (size),50.0
Last (time),12:47p ET 11/28/22
Market Cap,305.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.33
Price,1.33
Shares Outstanding,229.9M
Short Interest,0.18780000000000002
Today's Open,1.31
Volume Past Day,(Light)
