,RIDE
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.69946
Price/Cash Flow (TTM),
5yr Low,1.3
5yr High,31.8
5yr Avg Return,-0.10510000000000001
Short Int Current Month,33598459.0
Short Int Prev Month,38861725.0
Short Int Pct of Float,0.1878103
Days to Cover,3.73272
Float,179.1314
Shares Outstanding,216.9763
Institutions Holding Shares,185.0
% Held by Institutions,0.265144
FCF Growth 5yr,0.09436273763968699
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
