,CCOI
% Above Low,0.2548
% Held by Institutions,0.8415
52-Wk Range,['46.75 - 79.23']
Annual Dividend $,3.66
Annual Dividend %,0.062400000000000004
Ask,63.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,54.88
Bid Size,100.0
Closing Price,58.66
Day Change $,0.89
Day Change %,0.0154
Day High,58.86
Day Low,57.94
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.321
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",119.93
Prev Close,57.77
Shares Outstanding,48.0M
Short Interest,0.0359
Today's Open,58.0
Volume,94109.0
Volume 10-day Avg,259657.0
Volume Past Day,(Light)
