,CCOI
Price/Earnings (TTM),119.9272
Price/Sales (TTM),4.73451
Price/Book (MRQ),
Price/Cash Flow (TTM),24.61472
5yr Low,35.75
5yr High,92.96
5yr Avg Return,0.059766666666666676
EPS Growth 5yr,0.2546416
Revenue Growth 5yr,0.0570571
Dividend Growth 5yr,0.1598891
Short Int Current Month,1510930.0
Short Int Prev Month,1725531.0
Short Int Pct of Float,0.0359216
Days to Cover,4.70232
Float,42.10307
Shares Outstanding,48.01004
Institutions Holding Shares,363.0
% Held by Institutions,0.841473
FCF Growth 5yr,
