,CCOI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.639344262295082
Growth 1yr High Est,-0.44565217391304346
Growth 1yr Consensus Est,-0.5424982181040627
Growth 2yr Low Est,1.0666915052160952
Growth 2yr High Est,0.4928601875532821
Growth 2yr Consensus Est,0.7797758463846887
Growth 5yr Low Est,0.5333457526080476
Growth 5yr High Est,0.24643009377664105
Growth 5yr Consensus Est,0.3898879231923443
Growth 5yr Actual/Est,1.90204155487327
Growth 3yr Historic,1.5208926875593543
