,PLOW
Price/Earnings (TTM),24.78949
Price/Sales (TTM),1.4599
Price/Book (MRQ),3.85952
Price/Cash Flow (TTM),15.70789
5yr Low,24.12
5yr High,56.89
5yr Avg Return,0.01321666666666667
EPS Growth 5yr,-0.048235
Revenue Growth 5yr,0.0539926
Dividend Growth 5yr,0.039334600000000004
Short Int Current Month,280251.0
Short Int Prev Month,372800.0
Short Int Pct of Float,0.0125713
Days to Cover,2.59949
Float,22.30006
Shares Outstanding,22.88679
Institutions Holding Shares,178.0
% Held by Institutions,0.908142
FCF Growth 5yr,
