,PLOW
% Below High,0.0932
% Held by Institutions,0.9081
52-Wk Range,['27.76 - 41.84']
Annual Dividend $,1.16
Annual Dividend %,0.029900000000000003
Ask,38.45
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.0
Bid,37.9
Bid Size,300.0
Day Change $,-0.92
Day Change %,-0.023700000000000002
Day High,38.81
Day Low,37.85
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.327
Last (size),100.0
Last (time),11:01a ET 11/28/22
Market Cap,868.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.79
Prev Close,38.86
Price,37.94
Shares Outstanding,22.9M
Short Interest,0.0126
Today's Open,38.47
Volume Past Day,(Light)
