,AGYS
Price/Earnings (TTM),201.2534
Price/Sales (TTM),9.01412
Price/Book (MRQ),15.32492
Price/Cash Flow (TTM),135.3394
5yr Low,10.77
5yr High,69.14
5yr Avg Return,0.3472
EPS Growth 5yr,
Revenue Growth 5yr,0.0495911
Dividend Growth 5yr,
Short Int Current Month,312830.0
Short Int Prev Month,334516.0
Short Int Pct of Float,0.0131124
Days to Cover,2.13765
Float,23.93103
Shares Outstanding,25.06447
Institutions Holding Shares,226.0
% Held by Institutions,0.996919
FCF Growth 5yr,257.2162899481187
