,AGYS
% Below High,0.0571
% Held by Institutions,0.9969
52-Wk Range,['31.49 - 69.14']
Annual Dividend $,
Annual Dividend %,
Ask,105.42
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.0
Bid,58.5
Bid Size,400.0
Closing Price,65.19
Day Change $,0.17
Day Change %,0.0026
Day High,66.22
Day Low,64.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,No dividend
Historical Volatility,0.466
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",201.25
Prev Close,65.02
Shares Outstanding,25.1M
Short Interest,0.0131
Today's Open,65.12
Volume,46557.0
Volume 10-day Avg,104042.0
Volume Past Day,(Light)
