,FSS
% Below High,0.024700000000000003
% Held by Institutions,0.9279999999999999
52-Wk Range,['31.86 - 50.56']
Annual Dividend $,0.36
Annual Dividend %,0.0073
Ask,52.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,45.55
Bid Size,100.0
Closing Price,49.31
Day Change $,0.02
Day Change %,0.0004
Day High,49.51
Day Low,48.92
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.72
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.29300000000000004
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.69
Prev Close,49.29
Shares Outstanding,60.6M
Short Interest,0.0123
Today's Open,49.09
Volume,108395.0
Volume 10-day Avg,240027.0
Volume Past Day,(Light)
