,FSS
Price/Earnings (TTM),28.68912
Price/Sales (TTM),2.22354
Price/Book (MRQ),3.60892
Price/Cash Flow (TTM),18.81679
5yr Low,18.37
5yr High,50.56
5yr Avg Return,0.17668333333333333
EPS Growth 5yr,0.20346240000000002
Revenue Growth 5yr,0.1137612
Dividend Growth 5yr,0.051547499999999996
Short Int Current Month,725791.0
Short Int Prev Month,822805.0
Short Int Pct of Float,0.0122812
Days to Cover,2.6633
Float,59.09795
Shares Outstanding,60.63656
Institutions Holding Shares,300.0
% Held by Institutions,0.9279550000000001
FCF Growth 5yr,-0.6693803305362298
