,CRSR
% Above Low,0.5328
% Held by Institutions,0.7719
52-Wk Range,['10.96 - 23.98']
Annual Dividend $,
Annual Dividend %,
Ask,16.9
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.6
Bid Size,100.0
Closing Price,16.8
Day Change $,-0.05
Day Change %,-0.003
Day High,16.97
Day Low,16.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.85
Shares Outstanding,100.5M
Short Interest,0.1507
Today's Open,16.74
Volume,151988.0
Volume 10-day Avg,883901.0
Volume Past Day,(Light)
