,CRSR
Price/Earnings (TTM),
Price/Sales (TTM),1.1431
Price/Book (MRQ),3.12274
Price/Cash Flow (TTM),101.9973
5yr Low,10.96
5yr High,51.37
5yr Avg Return,0.2528
Short Int Current Month,6227679.0
Short Int Prev Month,6259609.0
Short Int Pct of Float,0.1506911
Days to Cover,5.53967
Float,97.70539
Shares Outstanding,101.1777
Institutions Holding Shares,199.0
% Held by Institutions,0.771879
FCF Growth 5yr,-5.827491636706547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
