,SGH
% Above Low,0.38079999999999997
% Held by Institutions,1.0567
52-Wk Range,['12.04 - 37.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.65
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,16.6
Bid Size,200.0
Day Change $,-0.535
Day Change %,-0.031200000000000002
Day High,16.95
Day Low,16.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.24
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),12.0
Last (time),2:05p ET 11/28/22
Market Cap,808.3M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.81
Prev Close,17.16
Price,16.63
Shares Outstanding,48.6M
Short Interest,0.0849
Today's Open,16.9
Volume Past Day,(Light)
