,SGH
Next Earnings Announcement,2023-01-03 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5289017341040463
Growth 1yr High Est,-0.26801152737752165
Growth 1yr Consensus Est,-0.39845663074078397
Growth 2yr Low Est,-0.07426681797226853
Growth 2yr High Est,-0.00014749597222540878
Growth 2yr Consensus Est,-0.03720715697224697
Growth 5yr Low Est,0.052082277288375556
Growth 5yr High Est,0.08747489014618304
Growth 5yr Consensus Est,0.0697785837172793
Growth 5yr Actual/Est,0.3288561611789846
Growth 3yr Historic,0.34866637194223404
