,SGH
Price/Earnings (TTM),13.8072
Price/Sales (TTM),0.45859
Price/Book (MRQ),2.2444
Price/Cash Flow (TTM),6.25256
5yr Low,8.21
5yr High,37.25
5yr Avg Return,0.06248333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.19034600000000002
Dividend Growth 5yr,
Short Int Current Month,3977902.0
Short Int Prev Month,4122666.0
Short Int Pct of Float,0.08489010000000001
Days to Cover,8.40962
Float,46.76142
Shares Outstanding,48.62059
Institutions Holding Shares,262.0
% Held by Institutions,1.056686
FCF Growth 5yr,3.883355367057984
