,AVNS
Price/Earnings (TTM),29.44178
Price/Sales (TTM),1.56745
Price/Book (MRQ),0.98732
Price/Cash Flow (TTM),14.27381
5yr Low,19.32
5yr High,72.96
5yr Avg Return,-0.06955000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0563082
Dividend Growth 5yr,
Short Int Current Month,899486.0
Short Int Prev Month,1083281.0
Short Int Pct of Float,0.0196708
Days to Cover,3.25348
Float,45.75987
Shares Outstanding,46.49761
Institutions Holding Shares,352.0
% Held by Institutions,0.9379179999999999
FCF Growth 5yr,-2.3439755425142854
