,BE
Price/Earnings (TTM),
Price/Sales (TTM),3.99939
Price/Book (MRQ),24.93311
Price/Cash Flow (TTM),
5yr Low,2.44
5yr High,44.95
5yr Avg Return,0.35856
EPS Growth 5yr,
Revenue Growth 5yr,0.3605393
Dividend Growth 5yr,
Short Int Current Month,15292034.0
Short Int Prev Month,15802678.0
Short Int Pct of Float,0.0940469
Days to Cover,4.89879
Float,162.9301
Shares Outstanding,195.1795
Institutions Holding Shares,434.0
% Held by Institutions,0.794751
FCF Growth 5yr,0.3453422179921061
