,BE
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.09836065573770503
Growth 1yr High Est,0.5
Growth 1yr Consensus Est,0.2991803278688525
Growth 2yr Low Est,-0.34634206019084895
Growth 2yr High Est,-1.356060606060606
Growth 2yr Consensus Est,-0.8512013331257274
Growth 5yr Low Est,-0.34634206019084895
Growth 5yr High Est,-1.356060606060606
Growth 5yr Consensus Est,-0.8512013331257274
Growth 5yr Actual/Est,-0.4490378770628009
Growth 3yr Historic,-0.13215476017968408
