,BE
% Below High,0.2974
% Held by Institutions,0.7948000000000001
52-Wk Range,['11.47 - 31.47']
Annual Dividend $,
Annual Dividend %,
Ask,22.31
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.9
Bid,20.25
Bid Size,100.0
Closing Price,22.11
Day Change $,-0.2
Day Change %,-0.009000000000000001
Day High,22.22
Day Low,21.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.6
Ex-dividend Date,No dividend
Historical Volatility,0.8009999999999999
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.31
Shares Outstanding,195.2M
Short Interest,0.094
Today's Open,22.13
Volume,757848.0
Volume 10-day Avg,2265046.0
Volume Past Day,(Light)
