,IMVT
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.8955
Price/Cash Flow (TTM),
5yr Low,3.15
5yr High,53.75
5yr Avg Return,0.560025
Short Int Current Month,2899410.0
Short Int Prev Month,2690574.0
Short Int Pct of Float,0.054443099999999994
Days to Cover,2.81637
Float,53.32201
Shares Outstanding,129.1824
Institutions Holding Shares,161.0
% Held by Institutions,0.38893700000000003
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
