,IMVT
% Below High,0.019299999999999998
% Held by Institutions,0.3889
52-Wk Range,['3.15 - 13.48']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,600.0
B/A Ratio,1.3333333333333333
B/A Size,800x600
Beta,1.3
Bid,13.22
Bid Size,800.0
Closing Price,13.22
Day Change $,-0.08
Day Change %,-0.006
Day High,13.4
Day Low,13.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,0.756
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.3
Shares Outstanding,129.2M
Short Interest,0.054400000000000004
Today's Open,13.38
Volume,186399.0
Volume 10-day Avg,793877.0
Volume Past Day,(Light)
