,TEAM
Price/Earnings (TTM),
Price/Sales (TTM),11.3161
Price/Book (MRQ),94.29039
Price/Cash Flow (TTM),
5yr Low,43.11
5yr High,483.13
5yr Avg Return,0.35413333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.3493085
Dividend Growth 5yr,
Short Int Current Month,4065441.0
Short Int Prev Month,3759956.0
Short Int Pct of Float,0.0275395
Days to Cover,0.879
Float,145.9493
Shares Outstanding,255.52
Institutions Holding Shares,808.0
% Held by Institutions,0.8134
FCF Growth 5yr,1.479518958137379
