,TEAM
% Above Low,0.1106
% Held by Institutions,0.8134
52-Wk Range,['113.86 - 404.68']
Annual Dividend $,
Annual Dividend %,
Ask,126.45
Ask Size,100.0
Ask close,132.23
B/A Ratio,21.0
B/A Size,2100x100
Beta,0.8
Bid,125.5
Bid Size,2100.0
Bid close,116.32
Change Since Close,0.00| |(0.00%)
Closing Price,126.45
Day Change $,2.32
Day Change %,0.0187
Day High,127.55
Day Low,122.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.43
Ex-dividend Date,No dividend
Historical Volatility,0.813
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,126.45
Market Cap,32.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,124.13
Shares Outstanding,255.5M
Short Interest,0.0275
Today's Open,123.41
Volume,2606793.0
Volume 10-day Avg,2620824.0
Volume Past Day,(Average)
