,ATEX
Price/Earnings (TTM),
Price/Sales (TTM),471.98
Price/Book (MRQ),4.13236
Price/Cash Flow (TTM),
5yr Low,22.5
5yr High,66.55
5yr Avg Return,0.05215000000000001
EPS Growth 5yr,
Revenue Growth 5yr,-0.2569925
Dividend Growth 5yr,
Short Int Current Month,712274.0
Short Int Prev Month,725765.0
Short Int Pct of Float,0.039801500000000004
Days to Cover,5.15535
Float,17.91631
Shares Outstanding,18.94439
Institutions Holding Shares,143.0
% Held by Institutions,0.831071
FCF Growth 5yr,
