,FRG
% Above Low,0.1234
% Held by Institutions,0.7942
52-Wk Range,['22.93 - 55.10']
Annual Dividend $,2.5
Annual Dividend %,0.09699999999999999
Ask,26.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,25.43
Bid Size,100.0
Closing Price,25.76
Day Change $,0.04
Day Change %,0.0016
Day High,26.08
Day Low,25.65
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",1.8
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.53
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,984.2M
"P/E Ratio (TTM, GAAP)",14.29
Prev Close,25.72
Shares Outstanding,38.2M
Short Interest,0.16440000000000002
Today's Open,25.97
Volume,134436.0
Volume 10-day Avg,551486.0
Volume Past Day,(Light)
