,FRG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1908602150537635
Growth 1yr High Est,-0.17929292929292928
Growth 1yr Consensus Est,-0.1850765721733464
Growth 2yr Low Est,-0.25822080520130036
Growth 2yr High Est,-0.04503108003108003
Growth 2yr Consensus Est,-0.1516259426161902
Growth 5yr Low Est,-0.25822080520130036
Growth 5yr High Est,-0.04503108003108003
Growth 5yr Consensus Est,-0.1516259426161902
Growth 5yr Actual/Est,1.0664982769423559
Growth 3yr Historic,1.148809523809524
