,CENTA
% Above Low,0.1291
% Held by Institutions,
52-Wk Range,['33.69 - 48.67']
Annual Dividend $,
Annual Dividend %,
Ask,59.42
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,15.21
Bid Size,200.0
Closing Price,38.04
Day Change $,0.03
Day Change %,0.0008
Day High,38.5
Day Low,37.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.303
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,38.01
Shares Outstanding,54.1M
Short Interest,
Today's Open,37.87
Volume,81940.0
Volume 10-day Avg,179525.0
Volume Past Day,(Light)
