,CNK
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5762273901808785
Growth 1yr High Est,-0.6685236768802229
Growth 1yr Consensus Est,-0.6223755335305508
Growth 2yr Low Est,-0.7210405243587319
Growth 2yr High Est,-1.2460265443224645
Growth 2yr Consensus Est,-0.9835335343405982
Growth 5yr Low Est,-0.7210405243587319
Growth 5yr High Est,-1.2460265443224645
Growth 5yr Consensus Est,-0.9835335343405982
Growth 5yr Actual/Est,-1.6072064798145074
Growth 3yr Historic,-1.1361671048787614
