,CNK
Price/Earnings (TTM),
Price/Sales (TTM),0.66143
Price/Book (MRQ),8.5624
Price/Cash Flow (TTM),20.50083
5yr Low,5.71
5yr High,44.0
5yr Avg Return,-0.12476666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.1234388
Dividend Growth 5yr,
Short Int Current Month,24686377.0
Short Int Prev Month,23634912.0
Short Int Pct of Float,0.22801649999999998
Days to Cover,7.21949
Float,108.2991
Shares Outstanding,120.425
Institutions Holding Shares,284.0
% Held by Institutions,1.023794
FCF Growth 5yr,-3.9406112914020723
