,CNK
% Above Low,0.527
% Held by Institutions,1.0238
52-Wk Range,['9.07 - 19.76']
Annual Dividend $,
Annual Dividend %,
Ask,15.5
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,2.1
Bid,13.6
Bid Size,1000.0
Closing Price,13.85
Day Change $,0.03
Day Change %,0.0022
Day High,14.1
Day Low,13.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.39
Ex-dividend Date,No dividend
Historical Volatility,0.539
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.82
Shares Outstanding,120.4M
Short Interest,0.228
Today's Open,13.82
Volume,1488601.0
Volume 10-day Avg,2665979.0
Volume Past Day,(Light)
