,PEBO
% Above Low,0.1529
% Held by Institutions,0.5019
52-Wk Range,['25.63 - 34.63']
Annual Dividend $,1.52
Annual Dividend %,0.051100000000000007
Ask,29.64
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,29.55
Bid Size,200.0
Day Change $,-0.22
Day Change %,-0.0074
Day High,29.8
Day Low,29.55
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",3.62
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.24800000000000003
Last (size),400.0
Last (time),10:26a ET 11/28/22
Market Cap,837.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.22
Prev Close,29.77
Price,29.55
Shares Outstanding,28.3M
Short Interest,0.0292
Today's Open,29.8
Volume Past Day,(Light)
