,PEBO
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.36328125
Growth 1yr High Est,0.38257575757575757
Growth 1yr Consensus Est,0.3729285037878788
Growth 2yr Low Est,0.16444864792263608
Growth 2yr High Est,0.1953974678289747
Growth 2yr Consensus Est,0.1799230578758054
Growth 5yr Low Est,0.08222432396131804
Growth 5yr High Est,0.09769873391448736
Growth 5yr Consensus Est,0.0899615289379027
Growth 5yr Actual/Est,0.13612639361723064
Growth 3yr Historic,-0.024035514100543
