,PEBO
Price/Earnings (TTM),8.21541
Price/Sales (TTM),2.65349
Price/Book (MRQ),1.10416
Price/Cash Flow (TTM),7.20665
5yr Low,17.91
5yr High,39.58
5yr Avg Return,-0.014116666666666671
EPS Growth 5yr,0.0462015
Revenue Growth 5yr,0.09865399999999999
Dividend Growth 5yr,0.17444099999999998
Short Int Current Month,806009.0
Short Int Prev Month,601592.0
Short Int Pct of Float,0.0292412
Days to Cover,6.86456
Float,27.56596
Shares Outstanding,28.2715
Institutions Holding Shares,195.0
% Held by Institutions,0.5018889999999999
FCF Growth 5yr,1.0137125168010688
