,OGE
Price/Earnings (TTM),8.58074
Price/Sales (TTM),2.46652
Price/Book (MRQ),1.80242
Price/Cash Flow (TTM),5.79252
5yr Low,23.01
5yr High,46.43
5yr Avg Return,0.03483333333333334
EPS Growth 5yr,0.1682084
Revenue Growth 5yr,0.1009197
Dividend Growth 5yr,0.0748443
Short Int Current Month,3614759.0
Short Int Prev Month,3394343.0
Short Int Pct of Float,0.0181056
Days to Cover,2.67411
Float,199.6938
Shares Outstanding,200.2027
Institutions Holding Shares,575.0
% Held by Institutions,0.6977899999999999
FCF Growth 5yr,-0.0916087353176371
