,OGE
% Below High,0.0683
% Held by Institutions,0.6978
52-Wk Range,['33.28 - 42.91']
Annual Dividend $,1.66
Annual Dividend %,0.0414
Ask,39.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,39.31
Bid Size,100.0
Change Since Close,0.02| |(0.05%)
Closing Price,39.98
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",4.66
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.22100000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,40.0
Market Cap,8.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.58
Prev Close,39.98
Shares Outstanding,200.2M
Short Interest,0.0181
Today's Open,
Volume,222.0
Volume 10-day Avg,1055470.0
Volume Past Day,(Light)
