,OGE
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.09604519774011289
Growth 1yr High Est,0.3153526970954357
Growth 1yr Consensus Est,0.20569894741777428
Growth 2yr Low Est,0.055754557632943014
Growth 2yr High Est,-0.011093367540610244
Growth 2yr Consensus Est,0.022330595046166385
Growth 5yr Low Est,-0.013621098602808024
Growth 5yr High Est,0.00904056560312852
Growth 5yr Consensus Est,-0.002290266499839752
Growth 5yr Actual/Est,-0.011860325569464647
Growth 3yr Historic,0.013577279202279163
