,IOVA
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.47745
Price/Cash Flow (TTM),
5yr Low,5.42
5yr High,54.21
5yr Avg Return,0.25416666666666665
Short Int Current Month,18239507.0
Short Int Prev Month,17261489.0
Short Int Pct of Float,0.1242439
Days to Cover,5.81353
Float,146.8525
Shares Outstanding,157.8406
Institutions Holding Shares,325.0
% Held by Institutions,0.999043
FCF Growth 5yr,0.22462334199243547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
