,GLOB
5yr Low,37.94
5yr High,354.62
5yr Avg Return,0.3893833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.32066130000000004
Dividend Growth 5yr,
FCF Growth 5yr,5.481308991612114
