,GLOB
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.36585365853658547
Growth 1yr High Est,0.29591836734693877
Growth 1yr Consensus Est,0.3308860129417621
Growth 2yr Low Est,0.26923635307781657
Growth 2yr High Est,0.25524264824039855
Growth 2yr Consensus Est,0.26223950065910756
Growth 5yr Low Est,0.2947141420696564
Growth 5yr High Est,0.2828296574535326
Growth 5yr Consensus Est,0.2887718997615945
Growth 5yr Actual/Est,0.28705835017317655
Growth 3yr Historic,0.15114071829605202
