,GLOB
% Above Low,0.1489
% Held by Institutions,
52-Wk Range,['155.01 - 324.29']
Annual Dividend $,
Annual Dividend %,
Ask,241.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,177.37
Bid Size,100.0
Closing Price,178.09
Day Change $,-1.6
Day Change %,-0.0089
Day High,179.54
Day Low,175.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.605
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,7.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,179.69
Shares Outstanding,41.8M
Short Interest,
Today's Open,179.07
Volume,54111.0
Volume 10-day Avg,327762.0
Volume Past Day,(Light)
