,EFX
% Above Low,0.373
% Held by Institutions,0.9504
52-Wk Range,['145.98 - 300.11']
Annual Dividend $,1.56
Annual Dividend %,0.0078000000000000005
Ask,246.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,130.0
Bid Size,100.0
Closing Price,200.43
Day Change $,2.5
Day Change %,0.0126
Day High,200.99
Day Low,197.1
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.384
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,24.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.84
Prev Close,197.93
Shares Outstanding,122.4M
Short Interest,0.029300000000000003
Today's Open,197.73
Volume,460165.0
Volume 10-day Avg,1424614.0
Volume Past Day,(Light)
