,EFX
Price/Earnings (TTM),34.84388
Price/Sales (TTM),4.74009
Price/Book (MRQ),6.52637
Price/Cash Flow (TTM),19.27986
5yr Low,88.68
5yr High,300.11
5yr Avg Return,0.15935000000000002
EPS Growth 5yr,0.0832706
Revenue Growth 5yr,0.0938064
Dividend Growth 5yr,0.033975200000000004
Short Int Current Month,3571122.0
Short Int Prev Month,2984247.0
Short Int Pct of Float,0.0293053
Days to Cover,2.82967
Float,121.9321
Shares Outstanding,122.4434
Institutions Holding Shares,874.0
% Held by Institutions,0.950361
FCF Growth 5yr,-0.8637618734340143
