,NRIX
Price/Earnings (TTM),
Price/Sales (TTM),14.25007
Price/Book (MRQ),1.63241
Price/Cash Flow (TTM),
5yr Low,7.52
5yr High,52.38
5yr Avg Return,0.031866666666666675
Short Int Current Month,5143559.0
Short Int Prev Month,5639210.0
Short Int Pct of Float,0.1128729
Days to Cover,12.10688
Float,45.58147
Shares Outstanding,47.14778
Institutions Holding Shares,172.0
% Held by Institutions,0.912454
FCF Growth 5yr,0.2981305364311554
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
