,NRIX
% Above Low,0.5771000000000001
% Held by Institutions,0.9125
52-Wk Range,['7.52 - 32.18']
Annual Dividend $,
Annual Dividend %,
Ask,13.5
Ask Size,100.0
Ask close,14.46
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,10.85
Bid Size,200.0
Bid close,9.15
Change Since Close,-0.31| |(-2.61%)
Closing Price,11.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.71
Ex-dividend Date,No dividend
Historical Volatility,0.87
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,11.55
Market Cap,559.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.86
Shares Outstanding,47.1M
Short Interest,0.11289999999999999
Today's Open,
Volume,19.0
Volume 10-day Avg,375843.0
Volume Past Day,(Light)
